43,"06B-2 Duplex C-Lock Diamond",9,23.00,50,103.5,S.R.:20,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
44,"06B-2 Duplex Half Link Diamond",10,46.00,50,230,S.R.:35,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
45,"07 Cutter MT",17,103.00,56,770.44,S.R.:50,0,50,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
46,"07 GEM",29,112.00,62,1234.24,"PremierEngg.Works:56, S.R.:60",0,60,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
47,"07 NACHI",2,530.00,50,530,S.R.:350,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
48,"07 RIAT",1,112.00,62,42.56,S.R.:60,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
49,"08 GEM",36,116.00,62,1586.88,S.R.:65,45,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
50,"08 NTN",0,800.00,50,0,S.R.:500,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
51,"08A-1 Chain Diamond",1,1841.00,53,865.27,XXXX,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
52,"08B-1 C-Lock Simplex Diamond",40,28.00,50,560,"Alp.:20, S.R.:20",0,20,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
53,"08B-1 Chain Derby",5,640.00,50,1600,"Dilshad/sale price:425",0,425,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
54,"08B-1 Chain Diamond",0,1671.00,53,0,"Niyigi:955/1000, alp:955/985, ski:43",0,1000,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
55,"08B-1 Half Link Simplex Diamond",33,40.00,50,660,"Alp.:28, S.R.:30",0,30,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
56,"08B-2 Chain Diamond",2,3235.00,53,3040.9,XXXX,40,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
57,"08B-2 Duplex C-Lock Diamond",30,48.00,50,720,S.R.:35,0,35,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
58,"08B-2 Duplex Half Link Diamond",22,71.00,50,781,S.R.:50,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
59,"09 Cutter MT",3,130.00,56,171.6,S.R.:60,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
60,"09 GEM",50,134.00,62,2546,S.R.:75,45,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
61,"09 RIAT",1,134.00,62,50.92,S.R.:75,0,75,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
62,"1.1/2"" Steel Ball""",6,180.00,50,540,S.R.:140,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
63,"1.9mm E-Circlip",5800,0.08,50,232,S.R.:1,0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
64,"1"" Steel Ball""",114,20.00,50,1140,"Alp.:10/12, S.R.:15",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
